GROUP_ID,GROUP_NAME,GROUP_LINK,MENU_LINK,TAG_LIST
b441674e06644920bb4764559d1e770e,+喵耳園魔法道具屋+,,,
82afc0484b1443dfb09d9a329c781f6c,艾宅團,https://x.com/kabihandmaker,https://x.com/kabihandmaker/status/2017494439963594835,"VTuber,Vocaloid,絕區零"
3d8c726f9db546a8813d922cd8bc8fa6,林檎效應,https://www.facebook.com/AppleEffect,,"學園偶像大師,超元氣3姊妹"
bb92153e456e47c6be204b0c90a78499,兔子老大,https://www.facebook.com/usagibosu,,蔚藍檔案
29c181aaa753444283c4f4c0db56609a,炉研所,https://www.facebook.com/jiang.wei.ting.241286,https://www.facebook.com/monudraw/posts/pfbid0cgutQELCsxPBv5C3RHH4cgq8f1aCvcaiJvU73ixsTuzwPwcU6Ki7GJQVrW9Xm7Vcl,"偶像大師 百萬人演唱會！,學園偶像大師,VTuber"
27bd38782b53474ba1330c934a0a4ad3,電梯上樓,https://www.facebook.com/lift.quarter,https://www.facebook.com/lift.quarter/posts/pfbid026jveJ3eoQbPdamRzyTLGfsSPhW9ShnphPeVgj2YqKaSdKVZVK3AR5CT7rzZhMgbml,學園偶像大師
f885d66fc6cd4b0d89978120af035d60,Shadow sensei,,,
d5be2e78e1ad4082abb7c425a0755338,桑尤姆的部屋,https://x.com/kino_na,https://www.plurk.com/p/3i8z1ihhmx,活俠傳
2717480ac7854689b192c75ebeffdfbf,幽塗,https://www.facebook.com/yiokaki.owo,https://www.facebook.com/yiokaki.owo/posts/pfbid0MSK3zKu2btD6NS7TVChyRFEUJxU3ACC6MwonaQVp5N24wmjR2F7bvVobZTeLs3xMl,明日方舟
34d5a0d96fb242cbbbc8cf8a6cba4662,Ema箱,https://www.facebook.com/KuguiEMA,https://www.facebook.com/KuguiEMA/posts/pfbid02Z6Y6oNqekySBdY24kLk6jeZ5TCSrjqjJRKEMiTRo8dKxjrd6HA7oLBiDhqXrzRuSl,明日方舟
00eebdad0dac4b74bf05f5b7f0042997,符合舟禮,https://www.facebook.com/lie.char.3,,明日方舟
75d123ae0a354ed7b130c970e731e4e6,志言嗟咏舞,,,
08332423d9ea489699b889a74845b110,博士還不能休息,,,
7c384932244e40daa4d96cf9d7c3c71f,跑跑鼬,,,
0e65aea23ac941b282c1548c244337cd,舍團,,,
c6d6108b39724e9ca98af5baf3d63b54,Ellie工作坊,,,
028cdbf9b1944a8eb735c23916d8d118,いのがる工房,,,
6d754843fffa40bd9703acb0640e224d,克特小舖,,,
b319f798c5ff4d96b7b80b82de0974c2,觸電工作室,,,
535e7c4ae90a45158924da34e4dca82a,HIGH RISK REVOLUTION,http://www.highriskrevolution.com,,
c25252a508c04c37bcfd44c29d1e2fda,ETERNAL LAND,https://www.plurk.com/eland_6U,https://www.plurk.com/eland_6U,"原神,絕區零"
c381bcecd5724aa6b85d8ebff4122dbd,いちごうららか,,,
1a7a3ba145404d8f9e80b222eb0eb8a5,丹下拳闘倶楽部,,,
d7836a2dfacb4f6f8b1cbb48dc2e890b,Yuki Azuma Imomuya – Singleton,https://www.instagram.com/yuki_azuma_illustration,,"絕區零,原創"
fb1aa8503bb14795811b7f8182d24f38,水餃寶包,https://portaly.cc/smile1312,https://www.facebook.com/smilesmile1312/posts/pfbid02eEnU23Lx4VH8JNwHuHAqoZFXra95iuce7u5P9oz7tkccq7Jam2sMkziXEHNJayz8l,"絕區零,蔚藍檔案"
15c34f9a9912440d8a60bb4676ca0937,Ame,https://www.facebook.com/ameart22,https://www.facebook.com/ameart22/posts/pfbid025nSeuyVPEyEMeprqCj2PDkaLJouXbcRk3YqJ8RH35x2TK8XTg6vNcv2gU7RajzcCl,絕區零
6b80b0d493ad4fdd95fb81c953611481,黎梓×龜龜kame,,,
35210b8dac894b0e837b3aaad81a4dc4,草莓電波,https://portaly.cc/Jamama,https://x.com/Jamama_666/status/2010742784584798546,絕區零
