GROUP_ID,GROUP_NAME,GROUP_LINK,MENU_LINK,TAG_LIST
23258e247ad8430b839b917f6218b8ee,老問小問題,https://www.doujin.com.tw/authors/info/op7804620,,"我的英雄學院,鬼滅之刃,彩虹社,VTuber"
7af441c88ef34c2bb4e7f15371253533,利利皆心土,https://www.plurk.com/Mi_key,,"忍者亂太郎,鬼太郎"
5f5325d0943240fdbcfc2c2457513654,歨歨悅神社,https://www.plurk.com/niansui623,,"原創,忍者亂太郎"
b3198a2d379f49c9a8e2f0d0bf77e4c3,離月,https://www.plurk.com/p/3fugn2m3pv,,灌籃高手
a76c76bcbada436f8c4c788b713ad7f8,Zoiri,https://www.facebook.com/chen.zoiri.2025,,"新石紀,Vocaloid"
280bc450615c43a098f831db0ced5945,カイミク同好會,https://x.com/coffeefish_05,,"Vocaloid,初音未來,KAITO,世界計畫"
f29d272ffb384c26be7a7e81b75bc7bc,糸中註定冴愛凛,https://x.com/irina_reichi,,藍色監獄
4aa4fffd2cdf4ff1942c655aca7888dc,鹽昆布茶泡飯,https://www.plurk.com/SeRn1009,https://www.plurk.com/p/3iny9bxtkc,藍色監獄
c113553112a74beb85e43d592a738ed5,日照不足,https://www.doujin.com.tw/authors/info/inabatok,,"藍色監獄,MyGO!!!!!/Ave Mujica,排球少年"
0a4ec1d3c4c94e8e8b76fc69ad07fd55,薛丁格的水族箱,https://www.doujin.com.tw/authors/info/theice,,鑽石王牌
b092378b40d9472597373cee63b43185,落英之都,,,
aca8760de7d3493d821bab58564fe022,葫蘆夏天hwulusummer,https://hwulu.com/,,"明日方舟,排球少年"
6ae03b006d7946aa9619483f7193e9cc,ONE DAY HERO,https://www.plurk.com/plusultra2026,,我的英雄學院
34b20566883b4d4a989eb03c1232347d,粉色甜點舖,https://www.plurk.com/chentina1022,,魔法少女
35d8d36c3074476aa7b5239a3e5d0258,做我的蠢糗大萌,https://www.facebook.com/marikuforever,https://www.plurk.com/p/3ion8wk2j7,"我的英雄學院,獵人"
c1d03e57bff94dd4b8e5eee138ceb0b5,黑鮪食堂,https://www.facebook.com/blacktuna/,,"間諜家家酒,我的英雄學院,入間同學入魔了"
b7d68e03ff7743b19bc96b3eee26c7cd,環繞著土星的光環,https://www.facebook.com/tama48849,,"妖怪手錶,原神,光之美少女"
c266f191a44741339e99938406306fa9,微米手作工坊,https://www.facebook.com/profile.php?id=61554262122181,,"原神,排球少年,絕區零"
0e8eec1b4153437ea50d61465bcf609d,砂鍋魚頭,https://www.plurk.com/stargazer233,,"東離劍遊紀,音樂劇,FFXIV"
d017c8a7c45e42e690941afb29da428c,鵺空,https://www.plurk.com/snipeyozora,,"原創,東離劍遊紀,活俠傳"
dc8a5039263946158410177187a28b3a,每天戳一句,https://www.doujin.com.tw/authors/info/shihchan,,活俠傳
c4b868a458f5414a8560d5f989f48ba0,白叶,https://www.facebook.com/ouo336,,"東離劍遊紀,金光布袋戲"
