GROUP_ID,GROUP_NAME,GROUP_LINK,TAG_LIST
44611b413c6e433585995b5e31c27259,【A&D】Angels&Devils,http://and-club.com,
9d59ab7bc7ad4bf2bc04c2578608ecdd,反式實驗劇場,https://portaly.cc/lightoffill,原創
10f3959edc824bcda3787cf6d9b5ca00,超級同人大戰,https://www.facebook.com/superdoujinwars,
3efe08b359c4411e85371a55ca88f76e,蟬之森,https://www.instagram.com/caitw.art,
495c34a611c64794bfd9e2575855f768,格爾迪恩的芙拉爾,https://www.facebook.com/MFgeldian,
3986bd58df3b4627902606f90d114919,Feelconnected.co 有緣人公司,https://www.instagram.com/feelconnected.co,
8baec146ac3041d1a9ce4874aeeb40d8,＊×畫畫微糖去冰株式會社×＊,https://cwtsakura.wixsite.com/niannannni,
8a04dd0bcdac4217b09f55a739b0ecfa,麻玖叮,https://www.instagram.com/maruoo0121,
b6db4ad7315d419cbe68ce7c83fe538a,Aggie慢慢走,https://www.instagram.com/aggie__amble,
0d4db76f52a643be9380443ec1f7fdd4,芙子煉的藝想室and小黃瓜口味冰泡芙,https://www.facebook.com/fosusd.lina.graffiti.art,
d6f5b79600d64424801733ee6cdb3a1d,SANDY STUDIO,https://www.instagram.com/sandy.huahua,
314912bb0eaa47759540b3c273697c85,秘密貓貓繪創作,https://www.facebook.com/MinMinCatCat,
7f3a6ffc3c2342f98258f2f68326bdde,MOEYU,https://www.instagram.com/lovelymoeyu,
3ab2eb24c5bf44ecbf02c5e77a99d284,紅米,https://www.instagram.com/hdspaceart,
3de52d7de95b42079a7bff770bd4ac72,ZBYFAN,https://www.instagram.com/zeparevan,
e230e8c5d4c7434c9798755a8f1cb273,賽路伊斯-七曜個人,https://chiyau.weebly.com,
f9247fc368f9434d808091f4a2853146,優奈yuna,https://www.facebook.com/profile.php?id=100064163610036,
85576ee3edd84434adaa2227eea0e9b5,角落的諾比,https://www.instagram.com/rubi_in_corner,
7a31ec3c54ea45129f2c70b524139b6b,絨毛點,https://www.facebook.com/fluffpoint,
eb9bf5382b7d47688ae1f74544055042,木回木horohoro,https://www.plurk.com/horo_horo,
1f2c33dacfaf4218a469312154a8d09b,Charlottopia絢空間,https://portaly.cc/charlottopia,
9959df8546b1417fbadee659fb11c6a1,糙灰搭的獨角獸,https://www.facebook.com/burnedunicorn,
69dfdc9f6e264b42877fc29481f1623c,Rio.ouo哩喔,https://www.plurk.com/ryuouo,
ba5ac50ec6d44e77a4a78c3a388684b2,不安勒戒所,https://inuko444.weebly.com,
5afe7124ded74ecbaf6fdb3c1d7c6ca3,好點子,https://www.facebook.com/chenyurain,
fc2efbbda1aa4aa1adf52d01c8abb27f,星野重工,https://www.pixiv.net/users/10300554,
96b847fff7a04397b190c5c547627b0c,八百萬堂,,
d2faea60e18348ccbd61f2fac0abcbc5,骨頭蹦,https://potofu.me/boneboom,
dc4dba1baeaa40e7a1424a8960259f4a,Atelier Kingyo (金魚工房),https://www.facebook.com/Atelier.Kingyo.moe,星穹鐵道
22a58ba0a3f04ca6af4eb5aad49f707c,槙木製作所,https://www.instagram.com/bwayshen,
09d2cbd4f6ec4392a005d6cd29ab02ea,毛毛精靈與牠們的酷東西,,
bce6a2f35a334d86af95db23ac9c5e1f,落英之都,http://mutsuha.blog124.fc2blog.us,
53124041268a4721be7303b7cbdccf85,【陌上花開】代理寄售,https://www.facebook.com/flower332033,
9b366ed7dabb456dba3b0f6a339e0271,Mirror Mirror HandMade,https://www.facebook.com/greendimensional,
0ea8a5a726b24ac6a901a774cb6bf2f2,無限迴圈,http://www.ainsuph.idv.tw,
63c6cfabc0c34c47b7de3d1ebd15d381,夢星球,https://lit.link/en/nonlight,
331e574c59304c94a3dec3a7f301fdfd,霸總出巡,https://www.plurk.com/mutea1220,
019619eb638547919852d0ee55eff155,DeityMark,https://lit.link/en/deitymark,
89bbcc85378848f59afa2830c86aee0b,綿牛喵星球,https://www.youtube.com/channel/UCbqQOaT_aDmNQmCA0ssr9DA,VTuber
5100ed4e1d6f43fb8f12425bc66dd4a2,松果社ACORN PRODUCTION,https://www.facebook.com/kasakiartwork,
31d1f6bdc64648629b3dc12276c51653,暖呼呼的鬆餅隊長,https://portaly.cc/Kugi_777,
b3368b81b51b49d6b32825bdafc08f5b,古藤工作室 by MOMO,https://www.plurk.com/kotomomo,
33b551f233b440ceb99e4d10059917c2,日寢社,https://www.plurk.com/maple50821,
60ab8c33329647cb8c650d99bb0b1a38,髒海花與老酒們,https://www.plurk.com/maxinexyz4,
b0097807d42c4d5f8f17b3b45010fecf,Mike Lu,https://www.doujin.com.tw/groups/info/5000,
25dd0486ad104f228956c0533dd9f689,Jasonz Artwork,https://www.doujin.com.tw/authors/info/fb:3rq25ibv5u,
e8b09a6d0a9447208b57eb689f845ab1,果醬販賣所,,
